,URL,Category,RawCategory,WhatIsIt,City
250,https://www.getyourguide.com/s?q=Cancun&themes=amusement_and_activities,Amusement & activity parks,amusement_and_activities,Intrests,Cancun
251,https://www.getyourguide.com/s?q=Cancun&themes=national_park,National parks,national_park,Intrests,Cancun
252,https://www.getyourguide.com/s?q=Cancun&themes=lake,Lakes,lake,Intrests,Cancun
253,https://www.getyourguide.com/s?q=Cancun&themes=cave,Caves,cave,Intrests,Cancun
254,https://www.getyourguide.com/s?q=Cancun&themes=beach,Beaches,beach,Intrests,Cancun
255,https://www.getyourguide.com/s?q=Cancun&themes=water_park,Water parks,water_park,Intrests,Cancun
256,https://www.getyourguide.com/s?q=Cancun&themes=museum,Museums,museum,Intrests,Cancun
257,https://www.getyourguide.com/s?q=Cancun&themes=van,Van,van,Intrests,Cancun
258,https://www.getyourguide.com/s?q=Cancun&themes=bus_coach,Bus / coach,bus_coach,Intrests,Cancun
259,https://www.getyourguide.com/s?q=Cancun&themes=speed_boat,Speedboat,speed_boat,Intrests,Cancun
260,https://www.getyourguide.com/s?q=Cancun&themes=catamaran,Catamaran,catamaran,Intrests,Cancun
261,https://www.getyourguide.com/s?q=Cancun&themes=car,Car,car,Intrests,Cancun
262,https://www.getyourguide.com/s?q=Cancun&themes=other_water_transport,Other water transport,other_water_transport,Intrests,Cancun
263,https://www.getyourguide.com/s?q=Cancun&themes=quad_atv,ATV,quad_atv,Intrests,Cancun
264,https://www.getyourguide.com/s?q=Cancun&themes=sailboat,Sailboat,sailboat,Intrests,Cancun
265,https://www.getyourguide.com/s?q=Cancun&themes=ferry,Ferry,ferry,Intrests,Cancun
266,https://www.getyourguide.com/s?q=Cancun&themes=jeep_suv,Jeep / SUV,jeep_suv,Intrests,Cancun
267,https://www.getyourguide.com/s?q=Cancun&lc=l148180,Cancun International Airport,148180,Destination,Cancun
268,https://www.getyourguide.com/s?q=Cancun&lc=l1078,Isla Mujeres,1078,Destination,Cancun
269,https://www.getyourguide.com/s?q=Cancun&lc=l785,Chichén Itzá,785,Destination,Cancun
270,https://www.getyourguide.com/s?q=Cancun&lc=l163544,Tulum National Park,163544,Destination,Cancun
271,https://www.getyourguide.com/s?q=Cancun&lc=l4506,Coba,4506,Destination,Cancun
272,https://www.getyourguide.com/s?q=Cancun&lc=l127098,Nichupté Lagoon,127098,Destination,Cancun
273,https://www.getyourguide.com/s?q=Cancun&lc=l4510,Cenote Ik Kil,4510,Destination,Cancun
274,https://www.getyourguide.com/s?q=Cancun&lc=l158874,Cancún Underwater Museum,158874,Destination,Cancun
275,https://www.getyourguide.com/s?q=Cancun&lc=l165548,Xel-Ha Archaeological Site,165548,Destination,Cancun
276,https://www.getyourguide.com/s?q=Cancun&lc=l87612,Aquaworld Cancun,87612,Destination,Cancun
277,https://www.getyourguide.com/s?q=Dubai,Global,Global,Category,Dubai
278,https://www.getyourguide.com/s?q=Dubai&activity_type=entryTicket,Entry tickets,entryTicket,Category,Dubai
279,https://www.getyourguide.com/s?q=Dubai&activity_type=guidedTour,Guided tours,guidedTour,Category,Dubai
280,https://www.getyourguide.com/s?q=Dubai&activity_type=waterActivity,Water activities,waterActivity,Category,Dubai
281,https://www.getyourguide.com/s?q=Dubai&activity_type=adventure,Adventures,adventure,Category,Dubai
282,https://www.getyourguide.com/s?q=Dubai&activity_type=dayTrip,Day trips,dayTrip,Category,Dubai
283,https://www.getyourguide.com/s?q=Dubai&activity_type=privateTour,Private tours,privateTour,Category,Dubai
284,https://www.getyourguide.com/s?q=Dubai&activity_type=other,Other experiences,other,Category,Dubai
285,https://www.getyourguide.com/s?q=Dubai&activity_type=transfer,Transfers,transfer,Category,Dubai
286,https://www.getyourguide.com/s?q=Dubai&activity_type=cityCard,City cards,cityCard,Category,Dubai
287,https://www.getyourguide.com/s?q=Dubai&activity_type=hopOnHopOff,Hop-on hop-off tours,hopOnHopOff,Category,Dubai
288,https://www.getyourguide.com/s?q=Dubai&activity_type=bundle,Bundles,bundle,Category,Dubai
289,https://www.getyourguide.com/s?q=Dubai&activity_type=multiDayTrip,Multi-day trips,multiDayTrip,Category,Dubai
290,https://www.getyourguide.com/s?q=Dubai&activity_type=workshopOrClass,Workshops & classes,workshopOrClass,Category,Dubai
291,https://www.getyourguide.com/s?q=Dubai&themes=outdoor,Outdoor,outdoor,Intrests,Dubai
292,https://www.getyourguide.com/s?q=Dubai&themes=local_culture,Local culture,local_culture,Intrests,Dubai
293,https://www.getyourguide.com/s?q=Dubai&themes=water_activities,Water activities,water_activities,Intrests,Dubai
294,https://www.getyourguide.com/s?q=Dubai&themes=sea_and_landscapes,Sea & landscapes,sea_and_landscapes,Intrests,Dubai
295,https://www.getyourguide.com/s?q=Dubai&themes=desert_safari,Desert safari,desert_safari,Intrests,Dubai
296,https://www.getyourguide.com/s?q=Dubai&themes=adrenaline,Adrenaline,adrenaline,Intrests,Dubai
297,https://www.getyourguide.com/s?q=Dubai&themes=food,Food,food,Intrests,Dubai
298,https://www.getyourguide.com/s?q=Dubai&themes=city_sightseeing,City sightseeing,city_sightseeing,Intrests,Dubai
299,https://www.getyourguide.com/s?q=Dubai&themes=nature,Nature,nature,Intrests,Dubai
300,https://www.getyourguide.com/s?q=Dubai&themes=special_times_of_the_day,Special times of the day,special_times_of_the_day,Intrests,Dubai
301,https://www.getyourguide.com/s?q=Dubai&themes=activities_for_couples,Activities for couples,activities_for_couples,Intrests,Dubai
302,https://www.getyourguide.com/s?q=Dubai&themes=children_s_activities,Children's activities,children_s_activities,Intrests,Dubai
303,https://www.getyourguide.com/s?q=Dubai&themes=landmark,Landmarks,landmark,Intrests,Dubai
304,https://www.getyourguide.com/s?q=Dubai&themes=island,Islands,island,Intrests,Dubai
305,https://www.getyourguide.com/s?q=Dubai&themes=river,Rivers,river,Intrests,Dubai
306,https://www.getyourguide.com/s?q=Dubai&themes=market,Markets,market,Intrests,Dubai
307,https://www.getyourguide.com/s?q=Dubai&themes=tower,Towers & viewing platforms,tower,Intrests,Dubai
308,https://www.getyourguide.com/s?q=Dubai&themes=shopping_mall,Shopping malls,shopping_mall,Intrests,Dubai
309,https://www.getyourguide.com/s?q=Dubai&themes=museum,Museums,museum,Intrests,Dubai
310,https://www.getyourguide.com/s?q=Dubai&themes=natural_landmark,Natural formations,natural_landmark,Intrests,Dubai
311,https://www.getyourguide.com/s?q=Dubai&themes=religious,Religious sites,religious,Intrests,Dubai
312,https://www.getyourguide.com/s?q=Dubai&themes=national_park,National parks,national_park,Intrests,Dubai
