,URL,Category,RawCategory,MatchCategory,City
303,https://www.viator.com/Lisbon-tours/Classes-and-Workshops/d538-g26051,Classes & Workshops,/Lisbon-tours/Classes-and-Workshops/d538-g26051,Classes-and-Workshops,Lisbon
304,https://www.viator.com/Lisbon-tours/Food-Wine-and-Nightlife/d538-g6,Food & Drink,/Lisbon-tours/Food-Wine-and-Nightlife/d538-g6,Food-Wine-and-Nightlife,Lisbon
305,https://www.viator.com/Lisbon-tours/Seasonal-and-Special-Occasions/d538-tag21916,Seasonal & Special Occasions,/Lisbon-tours/Seasonal-and-Special-Occasions/d538-tag21916,Seasonal-and-Special-Occasions,Lisbon
306,https://www.viator.com/Lisbon-tours/Sightseeing-Tickets-and-Passes/d538-g8,Tickets & Passes,/Lisbon-tours/Sightseeing-Tickets-and-Passes/d538-g8,Sightseeing-Tickets-and-Passes,Lisbon
307,https://www.viator.com/Lisbon-tours/Unique-Experiences/d538-g50127-c50128,Unique Experiences,/Lisbon-tours/Unique-Experiences/d538-g50127-c50128,Unique-Experiences,Lisbon
308,https://www.viator.com/Madrid/d566-ttd,Global,/Global/Global,Global,Madrid
309,https://www.viator.com/Madrid-tours/Day-Trips/d566-g5-c15,Day Trips,/Madrid-tours/Day-Trips/d566-g5-c15,Day-Trips,Madrid
310,https://www.viator.com/Madrid-tours/Private-Sightseeing-Tours/d566-g26-c116,Private Sightseeing Tours,/Madrid-tours/Private-Sightseeing-Tours/d566-g26-c116,Private-Sightseeing-Tours,Madrid
311,https://www.viator.com/Madrid-tours/Walking-Tours/d566-g16-c56,Walking Tours,/Madrid-tours/Walking-Tours/d566-g16-c56,Walking-Tours,Madrid
312,https://www.viator.com/Madrid-tours/Luxury-Tours/d566-g25-c113,Private and Luxury,/Madrid-tours/Luxury-Tours/d566-g25-c113,Luxury-Tours,Madrid
313,https://www.viator.com/Madrid-tours/City-Tours/d566-g12-c5330,City Tours,/Madrid-tours/City-Tours/d566-g12-c5330,City-Tours,Madrid
314,https://www.viator.com/Madrid-tours/Cultural-Tours/d566-g4-c11,Cultural Tours,/Madrid-tours/Cultural-Tours/d566-g4-c11,Cultural-Tours,Madrid
315,https://www.viator.com/Madrid-tours/Tuk-Tuk-Tours/d566-g12-c32054,Tuk Tuk Tours,/Madrid-tours/Tuk-Tuk-Tours/d566-g12-c32054,Tuk-Tuk-Tours,Madrid
316,https://www.viator.com/Madrid-tours/Sightseeing/d566-tag21725,Sightseeing Tours,/Madrid-tours/Sightseeing/d566-tag21725,Sightseeing,Madrid
317,https://www.viator.com/Madrid-tours/Bike-and-Mountain-Bike-Tours/d566-g16-c55,Mountain Bike Tours,/Madrid-tours/Bike-and-Mountain-Bike-Tours/d566-g16-c55,Bike-and-Mountain-Bike-Tours,Madrid
318,https://www.viator.com/Madrid-tours/Bus-and-Minivan-Tours/d566-g12-c98,Bus Tours,/Madrid-tours/Bus-and-Minivan-Tours/d566-g12-c98,Bus-and-Minivan-Tours,Madrid
319,https://www.viator.com/Madrid-tours/Half-day-Tours/d566-g12-c95,Half-day Tours,/Madrid-tours/Half-day-Tours/d566-g12-c95,Half-day-Tours,Madrid
320,https://www.viator.com/Madrid-tours/Historical-and-Heritage-Tours/d566-g4-c12,Historical Tours,/Madrid-tours/Historical-and-Heritage-Tours/d566-g4-c12,Historical-and-Heritage-Tours,Madrid
321,https://www.viator.com/Madrid-tours/Wine-Tasting-and-Winery-Tours/d566-g6-c21,Wine Tastings,/Madrid-tours/Wine-Tasting-and-Winery-Tours/d566-g6-c21,Wine-Tasting-and-Winery-Tours,Madrid
322,https://www.viator.com/Madrid-tours/E-Bike-Tours/d566-tag21713,E-Bike Tours,/Madrid-tours/E-Bike-Tours/d566-tag21713,E-Bike-Tours,Madrid
